human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
ENSG00000171853,TRAPPC12,ENSMUSG00000020628,Trappc12
ENSG00000186193,SAPCD2,ENSMUSG00000026955,Sapcd2
ENSG00000109917,ZPR1,ENSMUSG00000032078,Zpr1
ENSG00000166197,NOLC1,ENSMUSG00000015176,Nolc1
ENSG00000080839,RBL1,ENSMUSG00000027641,Rbl1
ENSG00000067369,TP53BP1,ENSMUSG00000043909,Trp53bp1
ENSG00000135083,CCNJL,ENSMUSG00000044707,Ccnjl
ENSG00000169641,LUZP1,ENSMUSG00000001089,Luzp1
ENSG00000197157,SND1,ENSMUSG00000001424,Snd1
ENSG00000011523,CEP68,ENSMUSG00000044066,Cep68
ENSG00000103342,GSPT1,ENSMUSG00000062203,Gspt1
ENSG00000164828,SUN1,ENSMUSG00000036817,Sun1
ENSG00000064102,INTS13,ENSMUSG00000040250,Ints13
ENSG00000182149,IST1,ENSMUSG00000031729,Ist1
ENSG00000155111,CDK19,ENSMUSG00000038481,Cdk19
ENSG00000076242,MLH1,ENSMUSG00000032498,Mlh1
ENSG00000173273,TNKS,ENSMUSG00000031529,Tnks
ENSG00000036549,ZZZ3,ENSMUSG00000039068,Zzz3
ENSG00000178252,WDR6,ENSMUSG00000066357,Wdr6
ENSG00000133104,SPART,ENSMUSG00000036580,Spart
ENSG00000166783,MARF1,ENSMUSG00000060657,Marf1
ENSG00000171552,BCL2L1,ENSMUSG00000007659,Bcl2l1
ENSG00000156970,BUB1B,ENSMUSG00000040084,Bub1b
ENSG00000196428,TSC22D2,ENSMUSG00000027806,Tsc22d2
ENSG00000175203,DCTN2,ENSMUSG00000025410,Dctn2
ENSG00000112983,BRD8,ENSMUSG00000003778,Brd8
ENSG00000136811,ODF2,ENSMUSG00000026790,Odf2
ENSG00000198176,TFDP1,ENSMUSG00000038482,Tfdp1
ENSG00000163029,SMC6,ENSMUSG00000020608,Smc6
ENSG00000077254,USP33,ENSMUSG00000025437,Usp33
ENSG00000180376,CCDC66,ENSMUSG00000046753,Ccdc66
ENSG00000127564,PKMYT1,ENSMUSG00000023908,Pkmyt1
ENSG00000172977,KAT5,ENSMUSG00000024926,Kat5
ENSG00000033800,PIAS1,ENSMUSG00000032405,Pias1
ENSG00000141551,CSNK1D,ENSMUSG00000025162,Csnk1d
ENSG00000112739,PRP4K,ENSMUSG00000021413,Prpf4b
ENSG00000181929,PRKAG1,ENSMUSG00000067713,Prkag1
ENSG00000156256,USP16,ENSMUSG00000025616,Usp16
ENSG00000070669,ASNS,ENSMUSG00000029752,Asns
ENSG00000139323,POC1B,ENSMUSG00000019952,Poc1b
ENSG00000158290,CUL4B,ENSMUSG00000031095,Cul4b
ENSG00000110330,BIRC2,ENSMUSG00000057367,Birc2
ENSG00000120616,EPC1,ENSMUSG00000024240,Epc1
ENSG00000124486,USP9X,ENSMUSG00000031010,Usp9x
ENSG00000141552,ANAPC11,ENSMUSG00000025135,Anapc11
ENSG00000014123,UFL1,ENSMUSG00000040359,Ufl1
ENSG00000163539,CLASP2,ENSMUSG00000033392,Clasp2
ENSG00000138442,WDR12,ENSMUSG00000026019,Wdr12
ENSG00000160310,PRMT2,ENSMUSG00000020230,Prmt2
ENSG00000068903,SIRT2,ENSMUSG00000015149,Sirt2
ENSG00000204843,DCTN1,ENSMUSG00000031865,Dctn1
ENSG00000110107,PRPF19,ENSMUSG00000024735,Prpf19
ENSG00000166140,ZFYVE19,ENSMUSG00000068580,Zfyve19
ENSG00000075131,TIPIN,ENSMUSG00000032397,Tipin
ENSG00000119401,TRIM32,ENSMUSG00000051675,Trim32
ENSG00000119383,PTPA,ENSMUSG00000039515,Ptpa
ENSG00000197102,DYNC1H1,ENSMUSG00000018707,Dync1h1
ENSG00000142192,APP,ENSMUSG00000022892,App
ENSG00000162819,BROX,ENSMUSG00000046836,Brox
ENSG00000151849,CPAP,ENSMUSG00000064128,Cpap
ENSG00000083535,PIBF1,ENSMUSG00000022064,Pibf1
ENSG00000170248,PDCD6IP,ENSMUSG00000032504,Pdcd6ip
ENSG00000187866,PABIR1,ENSMUSG00000074922,Pabir1
ENSG00000136273,HUS1,ENSMUSG00000020413,Hus1
ENSG00000146247,PHIP,ENSMUSG00000032253,Phip
ENSG00000165476,REEP3,ENSMUSG00000019873,Reep3
ENSG00000178053,MLF1,ENSMUSG00000048416,Mlf1
ENSG00000106635,BCL7B,ENSMUSG00000029681,Bcl7b
ENSG00000187778,MCRS1,ENSMUSG00000037570,Mcrs1
ENSG00000166266,CUL5,ENSMUSG00000032030,Cul5
ENSG00000188313,PLSCR1,ENSMUSG00000074139,Plscr1l1
ENSG00000164190,NIPBL,ENSMUSG00000022141,Nipbl
ENSG00000167513,CDT1,ENSMUSG00000006585,Cdt1
ENSG00000136861,CDK5RAP2,ENSMUSG00000039298,Cdk5rap2
ENSG00000136982,DSCC1,ENSMUSG00000022422,Dscc1
ENSG00000163904,SENP2,ENSMUSG00000022855,Senp2
ENSG00000254505,CHMP4A,Missing1.ensembl,Missing1.symbol
ENSG00000164087,POC1A,ENSMUSG00000023345,Poc1a
ENSG00000104671,DCTN6,ENSMUSG00000031516,Dctn6
ENSG00000114126,TFDP2,ENSMUSG00000032411,Tfdp2
ENSG00000115760,BIRC6,ENSMUSG00000024073,Birc6
ENSG00000138795,LEF1,ENSMUSG00000027985,Lef1
ENSG00000060237,WNK1,ENSMUSG00000045962,Wnk1
