,human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
0,ENSG00000132718,SYT11,ENSMUSG00000068923,Syt11
1,ENSG00000152253,SPC25,ENSMUSG00000005233,Spc25
2,ENSG00000105202,FBL,ENSMUSG00000046865,Fbl
3,ENSG00000116560,SFPQ,ENSMUSG00000028820,Sfpq
4,ENSG00000164032,H2AZ1,missing1,missing1
5,ENSG00000188229,TUBB4B,ENSMUSG00000036752,Tubb4b
6,ENSG00000120075,HOXB5,ENSMUSG00000038700,Hoxb5
7,ENSG00000101224,CDC25B,ENSMUSG00000027330,Cdc25b
8,ENSG00000101955,SRPX,ENSMUSG00000090084,Srpx
9,ENSG00000119969,HELLS,ENSMUSG00000025001,Hells
10,ENSG00000125901,MRPS26,ENSMUSG00000037740,Mrps26
11,ENSG00000149809,TM7SF2,ENSMUSG00000024799,Tm7sf2
12,ENSG00000179958,DCTPP1,ENSMUSG00000042462,Dctpp1
13,ENSG00000184220,CMSS1,ENSMUSG00000022748,Cmss1
14,ENSG00000060688,SNRNP40,ENSMUSG00000074088,Snrnp40
15,ENSG00000096746,HNRNPH3,ENSMUSG00000020069,Hnrnph3
16,ENSG00000171320,ESCO2,ENSMUSG00000022034,Esco2
17,ENSG00000168393,DTYMK,ENSMUSG00000026281,Dtymk
18,ENSG00000136982,DSCC1,ENSMUSG00000022422,Dscc1
19,ENSG00000166451,CENPN,ENSMUSG00000031756,Cenpn
20,ENSG00000138495,COX17,ENSMUSG00000046516,Cox17
21,ENSG00000127337,YEATS4,ENSMUSG00000020171,Yeats4
22,ENSG00000050393,MCUR1,ENSMUSG00000021371,Mcur1
23,ENSG00000144381,HSPD1,ENSMUSG00000025980,Hspd1
24,ENSG00000053371,AKR7A2,missing2,missing2
25,ENSG00000117632,STMN1,ENSMUSG00000028832,Stmn1
26,ENSG00000142856,ITGB3BP,ENSMUSG00000028549,Itgb3bp
27,ENSG00000222041,CYTOR,missing3,missing3
28,ENSG00000114346,ECT2,ENSMUSG00000027699,Ect2
29,ENSG00000121644,DESI2,ENSMUSG00000026502,Desi2
30,ENSG00000173207,CKS1B,ENSMUSG00000028044,Cks1b
31,ENSG00000100941,PNN,ENSMUSG00000020994,Pnn
32,ENSG00000172336,POP7,ENSMUSG00000029715,Pop7
33,ENSG00000101084,RAB5IF,ENSMUSG00000027637,Rab5if
34,ENSG00000171792,RHNO1,ENSMUSG00000048668,Rhno1
35,ENSG00000115816,CEBPZ,ENSMUSG00000024081,Cebpz
36,ENSG00000171476,HOPX,ENSMUSG00000059325,Hopx
37,ENSG00000137310,TCF19,ENSMUSG00000050410,Tcf19
38,ENSG00000108468,CBX1,ENSMUSG00000018666,Cbx1
39,ENSG00000128708,HAT1,ENSMUSG00000027018,Hat1
40,ENSG00000008952,SEC62,ENSMUSG00000027706,Sec62
41,ENSG00000095002,MSH2,ENSMUSG00000024151,Msh2
42,ENSG00000164109,MAD2L1,ENSMUSG00000029910,Mad2l1
43,ENSG00000135617,PRADC1,ENSMUSG00000030008,Pradc1
44,ENSG00000029993,HMGB3,missing4,missing4
45,ENSG00000144034,TPRKB,ENSMUSG00000054226,Tprkb
46,ENSG00000109971,HSPA8,ENSMUSG00000015656,Hspa8
47,ENSG00000144848,ATG3,ENSMUSG00000022663,Atg3
48,ENSG00000198189,HSD17B11,ENSMUSG00000029311,Hsd17b11
49,ENSG00000171848,RRM2,ENSMUSG00000020649,Rrm2
50,ENSG00000204308,RNF5,ENSMUSG00000015478,Rnf5
51,ENSG00000167513,CDT1,ENSMUSG00000006585,Cdt1
52,ENSG00000167552,TUBA1A,ENSMUSG00000072235,Tuba1a
53,ENSG00000137776,SLTM,ENSMUSG00000032212,Sltm
54,ENSG00000165501,LRR1,ENSMUSG00000034883,Lrr1
55,ENSG00000148834,GSTO1,ENSMUSG00000025068,Gsto1
56,ENSG00000108106,UBE2S,ENSMUSG00000060860,Ube2s
57,ENSG00000092758,COL9A3,missing5,missing5
58,ENSG00000175606,TMEM70,ENSMUSG00000025940,Tmem70
59,ENSG00000130826,DKC1,ENSMUSG00000031403,Dkc1
60,ENSG00000134690,CDCA8,ENSMUSG00000028873,Cdca8
61,ENSG00000109519,GRPEL1,ENSMUSG00000029198,Grpel1
62,ENSG00000183691,NOG,ENSMUSG00000048616,Nog
63,ENSG00000117724,CENPF,ENSMUSG00000026605,Cenpf
64,ENSG00000152795,HNRNPDL,ENSMUSG00000029328,Hnrnpdl
65,ENSG00000154556,SORBS2,ENSMUSG00000031626,Sorbs2
66,ENSG00000182628,SKA2,ENSMUSG00000020492,Ska2
67,ENSG00000137100,DCTN3,ENSMUSG00000028447,Dctn3
68,ENSG00000143621,ILF2,ENSMUSG00000001016,Ilf2
69,ENSG00000076003,MCM6,ENSMUSG00000026355,Mcm6
70,ENSG00000123975,CKS2,ENSMUSG00000062248,Cks2
71,ENSG00000141552,ANAPC11,ENSMUSG00000025135,Anapc11
72,ENSG00000146670,CDCA5,ENSMUSG00000024791,Cdca5
73,ENSG00000113732,ATP6V0E1,ENSMUSG00000015575,Atp6v0e
74,ENSG00000139350,NEDD1,ENSMUSG00000019988,Nedd1
75,ENSG00000170779,CDCA4,ENSMUSG00000047832,Cdca4
76,ENSG00000066583,ISOC1,ENSMUSG00000024601,Isoc1
77,ENSG00000182481,KPNA2,ENSMUSG00000066878,Gm10184
