human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
ENSG00000117318,ID3,Id3,ENSMUSG00000007872
ENSG00000117724,CENPF,Cenpf,ENSMUSG00000026605
ENSG00000164611,PTTG1,Pttg1,ENSMUSG00000020415
ENSG00000175063,UBE2C,Ube2c,ENSMUSG00000001403
ENSG00000117632,STMN1,Stmn1,ENSMUSG00000028832
ENSG00000166803,PCLAF,Pclaf,ENSMUSG00000040204
ENSG00000118523,CCN2,Ccn2,ENSMUSG00000019997
ENSG00000110092,CCND1,Ccnd1,ENSMUSG00000070348
ENSG00000170312,CDK1,Cdk1,ENSMUSG00000019942
ENSG00000123975,CKS2,Cks2,ENSMUSG00000062248
ENSG00000173207,CKS1B,missing1,missing1
ENSG00000188229,TUBB4B,Tubb4b,ENSMUSG00000036752
ENSG00000108691,CCL2,Ccl2,ENSMUSG00000035385
ENSG00000137804,NUSAP1,Nusap1,ENSMUSG00000027306
ENSG00000113810,SMC4,Smc4,ENSMUSG00000034349
ENSG00000133639,BTG1,Btg1,ENSMUSG00000036478
ENSG00000134057,CCNB1,Ccnb1,ENSMUSG00000041431
ENSG00000089685,BIRC5,Birc5,ENSMUSG00000017716
ENSG00000108106,UBE2S,Ube2srt,ENSMUSG00000118653
ENSG00000181449,SOX2,Sox2,ENSMUSG00000074637
ENSG00000160789,LMNA,Lmna,ENSMUSG00000028063
ENSG00000124762,CDKN1A,Cdkn1a,ENSMUSG00000023067
ENSG00000167614,TTYH1,Ttyh1,ENSMUSG00000030428
ENSG00000185650,ZFP36L1,Zfp36l1,ENSMUSG00000021127
ENSG00000159140,SON,Son,ENSMUSG00000022961
ENSG00000143933,CALM2,Calm2,ENSMUSG00000036438
ENSG00000137267,TUBB2A,Tubb2a,ENSMUSG00000058672
ENSG00000132646,PCNA,Pcna,ENSMUSG00000027342
ENSG00000164109,MAD2L1,Mad2l1,ENSMUSG00000029910
ENSG00000131747,TOP2A,Top2a,ENSMUSG00000020914
ENSG00000137575,SDCBP,Sdcbp,ENSMUSG00000028249
ENSG00000138758,SEPTIN11,Septin11,ENSMUSG00000058013
ENSG00000179218,CALR,Calr,ENSMUSG00000003814
ENSG00000106615,RHEB,Rheb,ENSMUSG00000028945
ENSG00000100911,PSME2,Psme2b,ENSMUSG00000078153
ENSG00000171848,RRM2,Rrm2,ENSMUSG00000020649
ENSG00000135046,ANXA1,Anxa1,ENSMUSG00000024659
ENSG00000075711,DLG1,Dlg1,ENSMUSG00000022770
ENSG00000100823,APEX1,Apex1,ENSMUSG00000035960
ENSG00000164056,SPRY1,Spry1,ENSMUSG00000037211
ENSG00000142192,APP,App,ENSMUSG00000022892
ENSG00000177606,JUN,Jun,ENSMUSG00000052684
ENSG00000153187,HNRNPU,Hnrnpu,ENSMUSG00000039630
ENSG00000109971,HSPA8,missing2,missing2
ENSG00000126524,SBDS,Sbds,ENSMUSG00000025337
ENSG00000092010,PSME1,Psme1,ENSMUSG00000022216
ENSG00000166295,ANAPC16,Anapc16,ENSMUSG00000020107
ENSG00000113328,CCNG1,Ccng1,ENSMUSG00000020326
ENSG00000137210,TMEM14B,missing3,missing3
ENSG00000141027,NCOR1,Ncor1,ENSMUSG00000018501
ENSG00000128989,ARPP19,Arpp19,ENSMUSG00000007656
ENSG00000154473,BUB3,Bub3,ENSMUSG00000066979
ENSG00000170855,TRIAP1,Triap1,ENSMUSG00000029535
ENSG00000090273,NUDC,Nudc,ENSMUSG00000028851
ENSG00000138175,ARL3,Arl3,ENSMUSG00000025035
ENSG00000105971,CAV2,Cav2,ENSMUSG00000000058
ENSG00000087088,BAX,Bax,ENSMUSG00000003873
ENSG00000187840,EIF4EBP1,Eif4ebp1,ENSMUSG00000031490
ENSG00000123416,TUBA1B,Tuba1b,ENSMUSG00000023004
ENSG00000081154,PCNP,Pcnp,ENSMUSG00000071533
ENSG00000113575,PPP2CA,Ppp2ca,ENSMUSG00000020349
ENSG00000135446,CDK4,Cdk4,ENSMUSG00000006728
ENSG00000085224,ATRX,Atrx,ENSMUSG00000031229
ENSG00000143761,ARF1,Arf1,ENSMUSG00000048076
ENSG00000121774,KHDRBS1,Khdrbs1,ENSMUSG00000028790
ENSG00000103275,UBE2I,Ube2i,ENSMUSG00000015120
ENSG00000168385,SEPTIN2,Septin2,ENSMUSG00000026276
ENSG00000130724,CHMP2A,Chmp2a,ENSMUSG00000033916
ENSG00000132688,NES,Nes,ENSMUSG00000004891
ENSG00000151247,EIF4E,Eif4e,ENSMUSG00000028156
ENSG00000160310,PRMT2,Prmt2,ENSMUSG00000020230
ENSG00000168078,PBK,Pbk,ENSMUSG00000022033
ENSG00000113648,MACROH2A1,Macroh2a1,ENSMUSG00000015937
ENSG00000099901,RANBP1,Ranbp1,ENSMUSG00000005732
ENSG00000127445,PIN1,Pin1,ENSMUSG00000032171
ENSG00000086065,CHMP5,Chmp5,ENSMUSG00000028419
ENSG00000137710,RDX,Rdx,ENSMUSG00000032050
ENSG00000143420,ENSA,Ensa,ENSMUSG00000038619
ENSG00000143543,JTB,Jtb,ENSMUSG00000027937
ENSG00000172531,PPP1CA,Ppp1ca,ENSMUSG00000040385
ENSG00000070831,CDC42,Cdc42,ENSMUSG00000006699
ENSG00000166582,CENPV,Cenpv,ENSMUSG00000018509
ENSG00000179262,RAD23A,Rad23a,ENSMUSG00000003813
ENSG00000169689,CENPX,Cenpx,ENSMUSG00000025144
